,Team,TeamID
0,Kentucky,1246
1,Cincinnati,1153
2,Purdue,1345
3,West Virginia,1452
4,Buffalo,1138
5,Maryland,1268
6,Valparaiso,1434
7,Butler,1139
8,Texas,1400
9,Notre Dame,1323
10,Northeastern,1318
11,Wichita St,1455
12,Indiana,1231
13,Kansas,1242
14,New Mexico St,1308
15,Wisconsin,1458
16,Coastal Car,1157
17,Oregon,1332
18,Oklahoma St,1329
19,Arkansas,1116
20,Wofford,1459
21,North Carolina,1314
22,Harvard,1217
23,Xavier,1462
24,Baylor,1124
25,Georgia St,1209
26,VA Commonwealth,1433
27,Ohio St,1326
28,Arizona,1112
29,TX Southern,1411
30,Villanova,1437
31,Lafayette,1248
32,NC State,1301
33,LSU,1261
34,Northern Iowa,1320
35,Wyoming,1461
36,Louisville,1257
37,UC Irvine,1414
38,Providence,1344
39,Oklahoma,1328
40,Albany NY,1107
41,Michigan St,1277
42,Georgia,1208
43,Virginia,1438
44,Belmont,1125
45,Duke,1181
46,San Diego St,1361
47,St John's,1385
48,Utah,1428
49,SF Austin,1372
50,Georgetown,1207
51,E Washington,1186
52,SMU,1374
53,UCLA,1417
54,Iowa St,1235
55,UAB,1412
56,Iowa,1234
57,Davidson,1172
58,Gonzaga,1211
59,N Dakota St,1295
60,Manhattan,1264
61,Hampton,1214
62,BYU,1140
63,Mississippi,1279
64,Dayton,1173
65,Boise St,1129
66,North Florida,1316
67,Robert Morris,1352
